gene_name	gene_id	transcript_id	cds_start	cds_length	tx_length	cds_end
Ahnak2	ENSMUSG00000118667.1	ENSMUST00000239525.1	132	10506	11349	10637
Reln	ENSMUSG00000042453.15	ENSMUST00000161356.8	295	10386	11699	10680
Eppk1	ENSMUSG00000118671.1	ENSMUST00000239552.1	1134	10377	12332	11510
Muc5ac	ENSMUSG00000037974.17	ENSMUST00000155534.9	40	10368	10752	10407
Szt2	ENSMUSG00000033253.19	ENSMUST00000075406.12	85	10296	10965	10380
Utrn	ENSMUSG00000019820.12	ENSMUST00000218635.2	701	10293	11801	10993
Hrnr	ENSMUSG00000041991.19	ENSMUST00000093774.4	74	10236	11187	10309
Cdh23	ENSMUSG00000012819.17	ENSMUST00000105461.10	408	10065	11096	10472
Vcan	ENSMUSG00000021614.17	ENSMUST00000109546.9	444	10065	12427	10508
Dchs2	ENSMUSG00000102692.2	ENSMUST00000191829.2	1	10041	10783	10041
Lama3	ENSMUSG00000024421.17	ENSMUST00000092070.13	206	9993	10548	10198
Brca2	ENSMUSG00000041147.11	ENSMUST00000044620.11	500	9990	10724	10489
Unc80	ENSMUSG00000055567.19	ENSMUST00000061620.17	81	9981	13613	10061
Celsr3	ENSMUSG00000023473.14	ENSMUST00000213524.3	1	9930	11571	9930
Lrrc37a	ENSMUSG00000078632.5	ENSMUST00000153273.3	1	9897	9931	9897
Dchs1	ENSMUSG00000036862.16	ENSMUST00000078482.13	411	9876	10754	10286
Col6a3	ENSMUSG00000048126.17	ENSMUST00000056925.16	255	9852	10106	10106
Srcap	ENSMUSG00000053877.13	ENSMUST00000187040.7	389	9816	10654	10204
Speg	ENSMUSG00000026207.17	ENSMUST00000087122.12	144	9789	10801	9932
Golgb1	ENSMUSG00000034243.18	ENSMUST00000039855.9	3	9717	10847	9719
Cplane1	ENSMUSG00000039801.8	ENSMUST00000110617.2	522	9645	10469	10166
Cfap47	ENSMUSG00000073077.8	ENSMUST00000197180.6	1	9555	9568	9555
Wdfy4	ENSMUSG00000051506.18	ENSMUST00000130509.10	216	9552	10158	9767
Mki67	ENSMUSG00000031004.9	ENSMUST00000033310.9	223	9534	10061	9756
Cfap54	ENSMUSG00000020014.19	ENSMUST00000212902.2	1	9516	9516	9516
Vps13a	ENSMUSG00000046230.12	ENSMUST00000068156.8	159	9501	10838	9659
Frem2	ENSMUSG00000037016.12	ENSMUST00000091137.6	272	9483	12348	9754
Rev3l	ENSMUSG00000019841.16	ENSMUST00000164763.8	49	9369	10399	9417
Aspm	ENSMUSG00000033952.15	ENSMUST00000053364.12	158	9369	9867	9526
Htt	ENSMUSG00000029104.16	ENSMUST00000080036.3	164	9363	13215	9526
Lama2	ENSMUSG00000019899.18	ENSMUST00000092639.12	48	9357	9614	9404
Trio	ENSMUSG00000022263.11	ENSMUST00000090247.7	353	9312	11495	9664
Cep350	ENSMUSG00000033671.19	ENSMUST00000138762.8	421	9288	13307	9708
Prune2	ENSMUSG00000039126.11	ENSMUST00000087689.5	140	9255	12512	9394
Lama1	ENSMUSG00000032796.9	ENSMUST00000035471.9	77	9252	9526	9328
Adgrg4	ENSMUSG00000053852.12	ENSMUST00000153784.8	9	9222	9329	9230
Atm	ENSMUSG00000034218.17	ENSMUST00000232179.2	209	9201	9787	9409
Col12a1	ENSMUSG00000032332.18	ENSMUST00000071750.13	136	9198	11511	9333
Dmxl2	ENSMUSG00000041268.18	ENSMUST00000118163.8	190	9165	10614	9354
Ranbp2	ENSMUSG00000003226.8	ENSMUST00000003310.7	59	9162	9608	9220
Mga	ENSMUSG00000033943.16	ENSMUST00000110774.8	187	9129	13931	9315
Bptf	ENSMUSG00000040481.18	ENSMUST00000106763.8	206	9111	12036	9316
Ep400	ENSMUSG00000029505.18	ENSMUST00000041558.15	72	9108	10608	9179
Fam186a	ENSMUSG00000045350.16	ENSMUST00000100209.6	115	9108	9320	9222
Celsr1	ENSMUSG00000016028.12	ENSMUST00000016172.10	434	9105	11305	9538
Myo15b	ENSMUSG00000034427.18	ENSMUST00000093911.11	1	9102	9340	9102
Bod1l	ENSMUSG00000061755.11	ENSMUST00000050556.11	148	9099	10540	9246
Dmxl1	ENSMUSG00000037416.14	ENSMUST00000041772.6	94	9078	12247	9171
Fry	ENSMUSG00000056602.14	ENSMUST00000087204.9	503	9063	10893	9565
Map1a	ENSMUSG00000027254.14	ENSMUST00000094639.10	36	9045	11825	9080
Fryl	ENSMUSG00000070733.14	ENSMUST00000101127.12	600	9024	11340	9623
Trank1	ENSMUSG00000062296.9	ENSMUST00000078626.8	104	9000	10520	9103
Cenpf	ENSMUSG00000026605.15	ENSMUST00000171929.8	144	8994	11130	9137
Chd7	ENSMUSG00000041235.13	ENSMUST00000039267.10	329	8961	9444	9289
Helz2	ENSMUSG00000027580.18	ENSMUST00000094203.11	134	8913	9162	9046
Kalrn	ENSMUSG00000061751.17	ENSMUST00000076810.12	25	8895	8940	8919
Ash1l	ENSMUSG00000028053.14	ENSMUST00000186583.7	475	8877	11644	9351
Zzef1	ENSMUSG00000055670.15	ENSMUST00000207107.2	44	8862	11306	8905
Crybg3	ENSMUSG00000022723.17	ENSMUST00000172910.3	87	8859	10454	8945
Col7a1	ENSMUSG00000025650.14	ENSMUST00000112070.8	53	8835	9250	8887
Nbea	ENSMUSG00000027799.13	ENSMUST00000029374.8	467	8811	10986	9277
Celsr2	ENSMUSG00000068740.15	ENSMUST00000090558.11	574	8760	11113	9333
Pcnt	ENSMUSG00000001151.11	ENSMUST00000001179.7	109	8751	9331	8859
Otog	ENSMUSG00000009487.11	ENSMUST00000164538.2	43	8736	10043	8778
Fbn2	ENSMUSG00000024598.10	ENSMUST00000025497.8	683	8724	11041	9406
Chd9	ENSMUSG00000056608.15	ENSMUST00000109614.9	372	8658	11565	9029
Dsp	ENSMUSG00000054889.11	ENSMUST00000124830.3	296	8652	9592	8947
Tacc2	ENSMUSG00000030852.19	ENSMUST00000084513.12	1	8640	9029	8640
Fbn1	ENSMUSG00000027204.14	ENSMUST00000028633.13	234	8622	9847	8855
Ank3	ENSMUSG00000069601.15	ENSMUST00000186247.7	1	8612	8612	8612
Lrba	ENSMUSG00000028080.17	ENSMUST00000107635.7	296	8565	9888	8860
Igfn1	ENSMUSG00000051985.13	ENSMUST00000166193.9	1	8550	8989	8550
Prrc2c	ENSMUSG00000040225.16	ENSMUST00000182660.8	287	8541	11502	8827
Apc	ENSMUSG00000005871.16	ENSMUST00000079362.13	312	8529	12811	8840
Nf1	ENSMUSG00000020716.17	ENSMUST00000071325.9	176	8526	11917	8701
Tenm4	ENSMUSG00000048078.17	ENSMUST00000107165.8	466	8502	10930	8967
Piezo2	ENSMUSG00000041482.18	ENSMUST00000047480.13	915	8475	10724	9389
Vwf	ENSMUSG00000001930.18	ENSMUST00000112254.8	253	8442	8834	8694
Gm9195	ENSMUSG00000109446.2	ENSMUST00000208955.2	266	8418	8870	8683
Ubr5	ENSMUSG00000037487.8	ENSMUST00000226414.2	1	8397	8397	8397
Nipbl	ENSMUSG00000022141.8	ENSMUST00000052965.8	419	8397	9423	8815
Pdzd2	ENSMUSG00000022197.17	ENSMUST00000075317.12	1	8391	10756	8391
Akap13	ENSMUSG00000066406.17	ENSMUST00000207750.2	227	8385	12597	8611
Utp20	ENSMUSG00000004356.9	ENSMUST00000004470.9	155	8370	8821	8524
Megf8	ENSMUSG00000045039.10	ENSMUST00000128119.2	344	8370	10040	8713
Tex15	ENSMUSG00000009628.15	ENSMUST00000009772.8	1	8358	8405	8358
Tg	ENSMUSG00000053469.15	ENSMUST00000065916.14	40	8301	8454	8340
Tenm2	ENSMUSG00000049336.17	ENSMUST00000057207.6	1	8298	8298	8298
Nbeal2	ENSMUSG00000056724.16	ENSMUST00000167320.8	215	8253	8803	8467
Itpr1	ENSMUSG00000030102.12	ENSMUST00000032192.9	351	8250	9870	8600
Tenm1	ENSMUSG00000016150.16	ENSMUST00000016294.8	96	8196	8365	8291
Flnc	ENSMUSG00000068699.13	ENSMUST00000065090.8	184	8181	9038	8364
Kmt2b	ENSMUSG00000006307.17	ENSMUST00000006470.14	1	8166	8469	8166
Tenm3	ENSMUSG00000031561.17	ENSMUST00000033965.14	50	8148	8961	8197
Chd6	ENSMUSG00000057133.15	ENSMUST00000039782.14	58	8136	10515	8193
Srrm2	ENSMUSG00000039218.18	ENSMUST00000190686.7	242	8112	8864	8353
Itpr2	ENSMUSG00000030287.16	ENSMUST00000053273.15	35	8106	8331	8140
Zfp292	ENSMUSG00000039967.15	ENSMUST00000047950.6	42	8097	9986	8138
Cdcp3	ENSMUSG00000006204.8	ENSMUST00000208921.4	1	8091	8578	8091
Nsd1	ENSMUSG00000021488.9	ENSMUST00000099490.3	112	8076	12784	8187
Nbeal1	ENSMUSG00000073664.12	ENSMUST00000160834.8	329	8067	15731	8395
Hivep1	ENSMUSG00000021366.9	ENSMUST00000060148.6	174	8067	8753	8240
Tnrc18	ENSMUSG00000039477.17	ENSMUST00000152247.8	1	8022	9342	8022
Gcn1	ENSMUSG00000041638.19	ENSMUST00000064454.12	36	8016	8555	8051
Itpr3	ENSMUSG00000042644.10	ENSMUST00000049308.9	283	8013	8990	8295
Ankrd11	ENSMUSG00000035569.18	ENSMUST00000098333.5	1	7995	7995	7995
Unc79	ENSMUSG00000021198.17	ENSMUST00000179002.8	1	7965	7965	7965
Flna	ENSMUSG00000031328.17	ENSMUST00000033699.13	120	7944	8312	8063
Setx	ENSMUSG00000043535.14	ENSMUST00000061578.9	684	7941	10970	8624
Bahcc1	ENSMUSG00000039741.17	ENSMUST00000122148.8	382	7932	10712	8313
Cfap46	ENSMUSG00000049571.19	ENSMUST00000129990.9	48	7926	8180	7973
Atr	ENSMUSG00000032409.16	ENSMUST00000215311.2	20	7926	8102	7945
Col6a5	ENSMUSG00000091345.10	ENSMUST00000190193.8	127	7923	9289	8049
Wnk1	ENSMUSG00000045962.17	ENSMUST00000088644.13	1024	7908	11330	8931
Myo9a	ENSMUSG00000039585.16	ENSMUST00000136740.8	522	7896	12252	8417
Tep1	ENSMUSG00000006281.9	ENSMUST00000006444.9	173	7890	8171	8062
Usp24	ENSMUSG00000028514.16	ENSMUST00000165709.8	260	7857	10594	8116
Hectd1	ENSMUSG00000035247.17	ENSMUST00000179265.8	357	7857	9012	8213
Mast4	ENSMUSG00000034751.18	ENSMUST00000167058.8	269	7857	10636	8125
Myo18b	ENSMUSG00000072720.10	ENSMUST00000086617.11	229	7818	8280	8046
Ankrd17	ENSMUSG00000055204.16	ENSMUST00000014421.15	531	7812	10458	8342
Flnb	ENSMUSG00000025278.10	ENSMUST00000052678.9	196	7809	9100	8004
Abca12	ENSMUSG00000050296.15	ENSMUST00000087268.7	329	7788	9137	8116
Igsf10	ENSMUSG00000036334.13	ENSMUST00000039419.12	569	7785	10084	8353
Fcgbp	ENSMUSG00000047730.18	ENSMUST00000076648.8	20	7752	7928	7771
Chd8	ENSMUSG00000053754.15	ENSMUST00000200169.6	320	7749	8509	8068
9530053A07Rik	ENSMUSG00000078776.10	ENSMUST00000059886.12	20	7746	7922	7765
Epg5	ENSMUSG00000039840.9	ENSMUST00000044622.7	36	7719	9660	7754
Stab1	ENSMUSG00000042286.14	ENSMUST00000036618.14	150	7716	7999	7865
Zfhx2	ENSMUSG00000040721.10	ENSMUST00000036328.9	367	7689	10397	8055
Sptbn4	ENSMUSG00000011751.17	ENSMUST00000011895.14	153	7686	8747	7838
Stab2	ENSMUSG00000035459.19	ENSMUST00000035288.17	145	7680	8228	7824
Usp9y	ENSMUSG00000069044.7	ENSMUST00000091188.7	419	7671	8094	8089
Usp9x	ENSMUSG00000031010.18	ENSMUST00000089302.11	379	7665	11887	8043
Mtor	ENSMUSG00000028991.16	ENSMUST00000103221.10	92	7650	8564	7741
Ankhd1	ENSMUSG00000024483.20	ENSMUST00000155329.9	128	7647	8223	7774
Piezo1	ENSMUSG00000014444.18	ENSMUST00000156333.9	292	7644	8219	7935
Tln2	ENSMUSG00000052698.16	ENSMUST00000215784.2	215	7635	8330	7849
Polq	ENSMUSG00000034206.16	ENSMUST00000054034.7	115	7635	8552	7749
Tln1	ENSMUSG00000028465.17	ENSMUST00000030187.14	327	7626	8393	7952
Ralgapa1	ENSMUSG00000021027.18	ENSMUST00000226244.2	1	7617	8841	7617
Setd2	ENSMUSG00000044791.17	ENSMUST00000153838.8	83	7614	8350	7696
Notch1	ENSMUSG00000026923.16	ENSMUST00000028288.5	265	7596	9488	7860
Jmjd1c	ENSMUSG00000037876.18	ENSMUST00000174408.8	1	7596	8377	7596
Cul9	ENSMUSG00000040327.17	ENSMUST00000182485.8	153	7593	7848	7745
Zfyve26	ENSMUSG00000066440.6	ENSMUST00000021547.8	182	7590	9391	7771
Lrrk2	ENSMUSG00000036273.16	ENSMUST00000060642.7	107	7584	8275	7690
Pkd1l1	ENSMUSG00000046634.13	ENSMUST00000154153.8	1	7564	7631	7564
Cep192	ENSMUSG00000024542.10	ENSMUST00000025425.7	256	7545	8093	7800
Cic	ENSMUSG00000005442.14	ENSMUST00000169266.8	65	7533	8221	7597
Ncor2	ENSMUSG00000029478.17	ENSMUST00000111402.9	325	7524	8862	7848
Fasn	ENSMUSG00000025153.10	ENSMUST00000055655.9	528	7515	10050	8042
Sptan1	ENSMUSG00000057738.15	ENSMUST00000129241.3	1	7497	7585	7497
Zdbf2	ENSMUSG00000027520.17	ENSMUST00000239483.2	396	7497	12523	7892
Zfp462	ENSMUSG00000060206.12	ENSMUST00000098070.10	288	7488	10465	7775
Igf2r	ENSMUSG00000023830.15	ENSMUST00000024599.14	132	7452	8887	7583
Ttc28	ENSMUSG00000033209.18	ENSMUST00000040111.10	103	7446	10780	7548
Cep290	ENSMUSG00000019971.11	ENSMUST00000220346.2	224	7440	8211	7663
Fn1	ENSMUSG00000026193.16	ENSMUST00000055226.13	194	7434	8315	7627
Son	ENSMUSG00000022961.19	ENSMUST00000117633.8	403	7434	8731	7836
Atrx	ENSMUSG00000031229.17	ENSMUST00000113573.8	285	7431	10275	7715
Notch2	ENSMUSG00000027878.12	ENSMUST00000079812.8	162	7422	10500	7583
Cenpe	ENSMUSG00000045328.12	ENSMUST00000062893.12	123	7416	7910	7538
Bdp1	ENSMUSG00000049658.14	ENSMUST00000109379.9	1	7416	7567	7416
Map1b	ENSMUSG00000052727.7	ENSMUST00000064762.6	54	7395	11808	7448
Pde4dip	ENSMUSG00000038170.16	ENSMUST00000090750.12	38	7392	8376	7429
Pkd1l2	ENSMUSG00000034416.19	ENSMUST00000109093.9	1	7389	7389	7389
Dop1a	ENSMUSG00000034973.17	ENSMUST00000190957.7	197	7389	9187	7585
Cacna1a	ENSMUSG00000034656.19	ENSMUST00000238701.2	459	7374	8370	7832
Ncor1	ENSMUSG00000018501.18	ENSMUST00000018645.13	256	7365	9037	7620
Ptpn13	ENSMUSG00000034573.15	ENSMUST00000048957.11	42	7356	7915	7397
Acacb	ENSMUSG00000042010.17	ENSMUST00000102582.8	301	7347	8788	7647
Crebbp	ENSMUSG00000022521.11	ENSMUST00000023165.9	775	7326	10820	8100
Cep250	ENSMUSG00000038241.17	ENSMUST00000109619.9	201	7308	7977	7508
Abca2	ENSMUSG00000026944.19	ENSMUST00000102919.4	68	7302	8033	7369
Nav2	ENSMUSG00000052512.18	ENSMUST00000184945.8	98	7299	10665	7396
Tpr	ENSMUSG00000006005.19	ENSMUST00000124973.9	107	7296	7430	7402
Spg11	ENSMUSG00000033396.14	ENSMUST00000036450.8	19	7293	7671	7311
Hivep2	ENSMUSG00000015501.11	ENSMUST00000187083.7	1123	7293	9268	8415
Gvin2	ENSMUSG00000078606.9	ENSMUST00000176467.8	303	7284	9007	7586
Gvin1	ENSMUSG00000045868.13	ENSMUST00000183409.2	301	7284	9005	7584
Rif1	ENSMUSG00000036202.17	ENSMUST00000112693.10	49	7281	8509	7329
Spta1	ENSMUSG00000026532.8	ENSMUST00000027817.8	166	7248	8406	7413
Ep300	ENSMUSG00000055024.13	ENSMUST00000068387.11	1233	7239	9566	8471
Cep295	ENSMUSG00000046111.19	ENSMUST00000161132.10	190	7239	7605	7428
Cspg4b	ENSMUSG00000021763.18	ENSMUST00000136755.10	98	7176	8274	7273
Sptbn2	ENSMUSG00000067889.8	ENSMUST00000008991.8	501	7167	8299	7667
Tasor2	ENSMUSG00000033799.11	ENSMUST00000096069.5	561	7149	8338	7709
Cacna1g	ENSMUSG00000020866.18	ENSMUST00000107789.8	484	7146	8383	7629
Mgam2-ps	ENSMUSG00000102802.4	ENSMUST00000195870.3	1	7140	7140	7140
Sec16a	ENSMUSG00000026924.18	ENSMUST00000114082.9	210	7134	8797	7343
