gene_name	gene_id	transcript_id	cds_start	cds_length	tx_length	cds_end
GGCT	ENSG00000006625.17	ENST00000275428.8	136	567	1173	702
DBF4	ENSG00000006634.7	ENST00000265728.5	505	2025	3907	2529
TBXA2R	ENSG00000006638.11	ENST00000411851.3	215	1224	1494	1438
IFRD1	ENSG00000006652.13	ENST00000403825.7	262	1356	2290	1617
LGALS14	ENSG00000006659.12	ENST00000360675.7	267	507	773	773
COX10	ENSG00000006695.10	ENST00000261643.7	78	1332	2873	1409
GTF2IRD1	ENSG00000006704.10	ENST00000455841.6	214	2931	3315	3144
PAF1	ENSG00000006712.14	ENST00000221265.7	332	1596	2066	1927
VPS41	ENSG00000006715.15	ENST00000310301.8	56	2565	5903	2620
ARHGAP44	ENSG00000006740.16	ENST00000379672.9	301	2457	4228	2757
ELAC2	ENSG00000006744.18	ENST00000338034.8	241	2481	3148	2721
SCIN	ENSG00000006747.14	ENST00000297029.9	102	2148	9713	2249
ARSD	ENSG00000006756.15	ENST00000381154.5	77	1782	5159	1858
PNPLA4	ENSG00000006757.11	ENST00000381042.8	172	762	3372	933
MYH13	ENSG00000006788.13	ENST00000418404.8	165	5817	6067	5981
ADIPOR2	ENSG00000006831.9	ENST00000357103.4	252	1161	4018	1412
CDKL3	ENSG00000006837.11	ENST00000265334.8	120	1779	2130	1898
UPP2	ENSG00000007001.12	ENST00000605860.5	47	1125	2435	1171
PRSS21	ENSG00000007038.10	ENST00000005995.7	43	945	1101	987
MARK4	ENSG00000007047.14	ENST00000262891.8	332	2259	3573	2590
PROM1	ENSG00000007062.11	ENST00000510224.5	250	2598	4006	2847
CCDC124	ENSG00000007080.10	ENST00000597436.5	108	672	1055	779
CEACAM21	ENSG00000007129.17	ENST00000401445.3	27	882	1008	908
PAFAH1B1	ENSG00000007168.12	ENST00000397195.9	452	1233	5497	1684
NOS2	ENSG00000007171.17	ENST00000313735.10	235	3462	4176	3696
DNAH9	ENSG00000007174.17	ENST00000262442.8	69	13461	13750	13529
KIAA0100	ENSG00000007202.14	ENST00000528896.6	76	6708	7407	6783
SLC13A2	ENSG00000007216.14	ENST00000444914.7	421	1926	2855	2346
GAS7	ENSG00000007237.18	ENST00000432992.6	162	1431	4970	1592
TRAPPC6A	ENSG00000007255.10	ENST00000006275.8	20	522	805	541
MATK	ENSG00000007264.14	ENST00000395045.6	339	1527	2073	1865
CEACAM7	ENSG00000007306.14	ENST00000006724.7	203	798	2489	1000
CD79B	ENSG00000007312.12	ENST00000392795.7	76	693	1254	768
SCN4A	ENSG00000007314.12	ENST00000435607.3	78	5511	7805	5588
ST7L	ENSG00000007341.18	ENST00000358039.8	306	1728	4528	2033
TKTL1	ENSG00000007350.16	ENST00000369915.7	190	1791	2642	1980
PAX6	ENSG00000007372.22	ENST00000640368.1	513	1311	6975	1823
RPUSD1	ENSG00000007376.7	ENST00000561734.5	245	939	2159	1183
RHBDF1	ENSG00000007384.15	ENST00000262316.10	144	2568	2992	2711
LUC7L	ENSG00000007392.16	ENST00000293872.12	112	1116	1456	1227
CACNA2D2	ENSG00000007402.11	ENST00000479441.1	1	3453	3453	3453
BAIAP3	ENSG00000007516.13	ENST00000324385.9	159	3564	4678	3722
TSR3	ENSG00000007520.3	ENST00000007390.2	108	939	1243	1046
PIGQ	ENSG00000007541.16	ENST00000026218.9	89	2283	2846	2371
CRAMP1	ENSG00000007545.15	ENST00000397412.7	100	3810	7772	3909
TEAD3	ENSG00000007866.20	ENST00000338863.11	229	1308	2983	1536
SELE	ENSG00000007908.15	ENST00000333360.11	141	1833	3857	1973
DNAJC11	ENSG00000007923.15	ENST00000377577.9	125	1680	3311	1804
FMO3	ENSG00000007933.12	ENST00000367755.8	112	1599	2087	1710
MYLIP	ENSG00000007944.14	ENST00000356840.7	199	1338	1666	1536
NOX1	ENSG00000007952.17	ENST00000372966.7	207	1695	2529	1901
E2F2	ENSG00000007968.6	ENST00000361729.2	428	1314	5191	1741
PSMB1	ENSG00000008018.8	ENST00000262193.6	100	726	928	825
SYN1	ENSG00000008056.13	ENST00000295987.12	216	2118	3299	2333
JARID2	ENSG00000008083.13	ENST00000341776.6	245	3741	5755	3985
CDKL5	ENSG00000008086.11	ENST00000379989.6	286	3093	3463	3378
CAMK1G	ENSG00000008118.9	ENST00000009105.5	246	1431	2612	1676
CDK11A	ENSG00000008128.22	ENST00000378633.5	81	2352	2458	2432
NADK	ENSG00000008130.15	ENST00000378625.5	206	1776	3653	1981
TFAP2B	ENSG00000008196.12	ENST00000393655.3	170	1383	5773	1552
TFAP2D	ENSG00000008197.4	ENST00000008391.3	229	1359	1711	1587
DLEC1	ENSG00000008226.19	ENST00000308059.10	22	5268	6426	5289
CYTH3	ENSG00000008256.15	ENST00000350796.7	138	1200	4505	1337
ADAM22	ENSG00000008277.14	ENST00000265727.11	80	2721	2891	2800
SYPL1	ENSG00000008282.8	ENST00000011473.6	48	780	2127	827
CYB561	ENSG00000008283.15	ENST00000582997.5	13	777	877	789
SPAG9	ENSG00000008294.20	ENST00000262013.11	210	3966	8273	4175
CELSR3	ENSG00000008300.16	ENST00000164024.4	282	9939	11956	10220
AASS	ENSG00000008311.14	ENST00000393376.5	97	2781	3233	2877
PLEKHG6	ENSG00000008323.15	ENST00000396988.7	231	2373	2963	2603
SS18L2	ENSG00000008324.11	ENST00000447630.5	209	234	1047	442
MPND	ENSG00000008382.15	ENST00000599840.5	36	1506	1611	1541
MGST1	ENSG00000008394.12	ENST00000396209.5	144	468	979	611
CRY1	ENSG00000008405.11	ENST00000008527.9	869	1761	3267	2629
PGLYRP1	ENSG00000008438.4	ENST00000008938.4	45	591	720	635
NFIX	ENSG00000008441.16	ENST00000397661.6	231	1326	3143	1556
ST3GAL1	ENSG00000008513.15	ENST00000521180.5	1018	1023	6951	2040
MMP25	ENSG00000008516.16	ENST00000336577.8	238	1689	3554	1926
IL32	ENSG00000008517.16	ENST00000534507.5	212	705	1112	916
PKD1	ENSG00000008710.19	ENST00000262304.8	210	12912	14138	13121
MAPK8IP2	ENSG00000008735.13	ENST00000329492.5	135	2475	3381	2609
MED24	ENSG00000008838.19	ENST00000501516.7	11	3027	3037	3037
RHOBTB2	ENSG00000008853.16	ENST00000519685.5	284	2250	3505	2533
HEATR5B	ENSG00000008869.11	ENST00000233099.5	97	6216	6905	6312
SEC62	ENSG00000008952.16	ENST00000337002.8	59	1200	6568	1258
RPS20	ENSG00000008988.9	ENST00000519807.5	127	429	1826	555
CSDE1	ENSG00000009307.15	ENST00000610726.4	523	2535	4312	3057
UBE3C	ENSG00000009335.17	ENST00000348165.9	361	3252	5229	3612
REV3L	ENSG00000009413.15	ENST00000358835.7	459	9393	10815	9851
TENM1	ENSG00000009694.13	ENST00000422452.2	65	8199	12891	8263
PAX7	ENSG00000009709.11	ENST00000375375.7	599	1563	2260	2161
MASP2	ENSG00000009724.16	ENST00000400897.7	17	2061	2439	2077
IYD	ENSG00000009765.14	ENST00000229447.9	141	882	7513	1022
FAM76A	ENSG00000009780.15	ENST00000010299.10	25	1026	1050	1050
TRAF3IP3	ENSG00000009790.14	ENST00000367024.5	517	1656	2331	2172
POMT2	ENSG00000009830.11	ENST00000261534.8	204	2253	4876	2456
VTA1	ENSG00000009844.15	ENST00000367630.8	59	924	7028	982
MLXIPL	ENSG00000009950.15	ENST00000313375.7	49	2559	3278	2607
BAZ1B	ENSG00000009954.10	ENST00000339594.8	340	4452	6102	4791
RANBP9	ENSG00000010017.12	ENST00000011619.5	60	2190	3113	2249
ETV7	ENSG00000010030.13	ENST00000340181.8	243	1026	1719	1268
SPRTN	ENSG00000010072.15	ENST00000295050.11	337	1470	3468	1806
METTL13	ENSG00000010165.19	ENST00000361735.3	267	2100	3327	2366
DYRK4	ENSG00000010219.13	ENST00000540757.6	161	1563	3272	1723
ZNF207	ENSG00000010244.18	ENST00000394670.8	170	1485	13781	1654
UQCRC1	ENSG00000010256.10	ENST00000203407.5	418	1443	1985	1860
STARD3NL	ENSG00000010270.13	ENST00000009041.11	258	705	1728	962
CD9	ENSG00000010278.13	ENST00000382518.6	437	687	1566	1123
HHATL	ENSG00000010282.14	ENST00000441594.5	263	1515	1865	1777
NCAPD2	ENSG00000010292.12	ENST00000315579.9	800	4206	5548	5005
IFFO1	ENSG00000010295.19	ENST00000619571.4	55	1716	2724	1770
GIPR	ENSG00000010310.8	ENST00000590918.5	100	1401	3289	1500
PHF7	ENSG00000010318.20	ENST00000327906.7	661	1146	2130	1806
SEMA3G	ENSG00000010319.6	ENST00000231721.6	1	2349	4899	2349
NISCH	ENSG00000010322.15	ENST00000345716.8	135	4515	5238	4649
STAB1	ENSG00000010327.10	ENST00000321725.10	77	7713	7928	7789
FUZ	ENSG00000010361.13	ENST00000313777.8	165	1257	1675	1421
SLC6A13	ENSG00000010379.15	ENST00000343164.8	54	1809	2185	1862
IDS	ENSG00000010404.17	ENST00000340855.10	211	1653	7619	1863
PRSS3	ENSG00000010438.16	ENST00000361005.9	1	915	966	915
ZNF200	ENSG00000010539.11	ENST00000431561.7	614	1188	3348	1801
CD4	ENSG00000010610.9	ENST00000011653.8	259	1377	3114	1635
LRRC23	ENSG00000010626.14	ENST00000443597.6	220	1032	1628	1251
BTK	ENSG00000010671.15	ENST00000621635.4	248	2082	2767	2329
HFE	ENSG00000010704.18	ENST00000357618.9	123	1047	5286	1169
SCMH1	ENSG00000010803.16	ENST00000326197.11	301	1983	3275	2283
FYN	ENSG00000010810.17	ENST00000354650.7	608	1614	3628	2221
HIVEP2	ENSG00000010818.9	ENST00000367604.6	1063	7341	10032	8403
FMO1	ENSG00000010932.16	ENST00000354841.4	132	1599	2160	1730
ELOA	ENSG00000011007.12	ENST00000418390.6	272	2397	5154	2668
LYPLA2	ENSG00000011009.10	ENST00000374514.7	308	696	1810	1003
CLCN6	ENSG00000011021.22	ENST00000346436.10	53	2610	5583	2662
MRC2	ENSG00000011028.13	ENST00000303375.9	403	4440	5988	4842
NME1-NME2	ENSG00000011052.21	ENST00000393193.6	78	804	1021	881
SLC6A7	ENSG00000011083.8	ENST00000230671.6	372	1911	3739	2282
TSPAN9	ENSG00000011105.13	ENST00000011898.9	162	720	4323	881
BTBD7	ENSG00000011114.14	ENST00000334746.9	309	3399	8430	3707
APBA3	ENSG00000011132.11	ENST00000316757.3	202	1728	2075	1929
MKS1	ENSG00000011143.16	ENST00000393119.6	76	1680	2397	1755
ABHD5	ENSG00000011198.9	ENST00000644371.1	124	1050	5366	1173
ANOS1	ENSG00000011201.11	ENST00000262648.7	151	2043	6314	2193
AKAP8L	ENSG00000011243.17	ENST00000397410.9	132	1941	2146	2072
MBTD1	ENSG00000011258.15	ENST00000586178.5	345	1887	5382	2231
UTP18	ENSG00000011260.13	ENST00000225298.11	58	1671	1894	1728
RNF216	ENSG00000011275.18	ENST00000389902.7	269	2772	3293	3040
TTC19	ENSG00000011295.15	ENST00000261647.9	470	1143	3002	1612
PTBP1	ENSG00000011304.19	ENST00000356948.10	424	1674	3598	2097
DPF1	ENSG00000011332.19	ENST00000355526.8	28	1245	1632	1272
SYT7	ENSG00000011347.9	ENST00000540677.5	7	1437	2013	1443
LARS2	ENSG00000011376.10	ENST00000415258.5	142	2712	4744	2853
PIK3C2A	ENSG00000011405.13	ENST00000265970.11	1	5061	8227	5061
PLAUR	ENSG00000011422.11	ENST00000340093.7	231	1008	1548	1238
ANLN	ENSG00000011426.10	ENST00000265748.6	222	3375	4787	3596
WIZ	ENSG00000011451.19	ENST00000599686.3	148	2508	3644	2655
RABGAP1	ENSG00000011454.16	ENST00000373647.8	135	3210	4997	3344
DCN	ENSG00000011465.16	ENST00000052754.9	503	1080	7156	1582
QPCTL	ENSG00000011478.11	ENST00000012049.9	222	1149	2310	1370
PPP5C	ENSG00000011485.14	ENST00000012443.8	104	1500	2109	1603
CEP68	ENSG00000011523.13	ENST00000377990.6	204	2274	5847	2477
MAP4K3	ENSG00000011566.14	ENST00000263881.7	326	2685	4362	3010
ZBTB32	ENSG00000011590.13	ENST00000392197.6	319	1464	2068	1782
TYROBP	ENSG00000011600.11	ENST00000262629.8	68	342	568	409
TMEM159	ENSG00000011638.10	ENST00000451578.6	157	558	1378	714
GABRA3	ENSG00000011677.12	ENST00000370314.8	240	1479	3712	1718
BRCA1	ENSG00000012048.21	ENST00000471181.7	233	5655	7270	5887
ERCC1	ENSG00000012061.15	ENST00000013807.9	193	972	1278	1164
CD22	ENSG00000012124.16	ENST00000085219.9	67	2544	3268	2610
SEMA3B	ENSG00000012171.19	ENST00000611067.4	28	2265	2292	2292
MBTPS2	ENSG00000012174.11	ENST00000379484.9	100	1560	4428	1659
PRICKLE3	ENSG00000012211.12	ENST00000599218.5	96	1848	2062	1943
LTF	ENSG00000012223.12	ENST00000231751.8	297	2133	2979	2429
EXTL3	ENSG00000012232.8	ENST00000220562.8	903	2760	6483	3662
NR1H4	ENSG00000012504.14	ENST00000551379.5	29	1461	1489	1489
ELOVL5	ENSG00000012660.13	ENST00000370918.8	372	981	3081	1352
ALOX5	ENSG00000012779.10	ENST00000374391.6	54	2025	2506	2078
KDM5D	ENSG00000012817.15	ENST00000541639.5	289	4713	5579	5001
CALCOCO1	ENSG00000012822.15	ENST00000550804.5	62	2076	2291	2137
UBR7	ENSG00000012963.14	ENST00000013070.10	237	1278	3694	1514
EHD3	ENSG00000013016.15	ENST00000322054.9	286	1608	4636	1893
PSMC4	ENSG00000013275.7	ENST00000157812.6	199	1257	1591	1455
MAN2B2	ENSG00000013288.8	ENST00000285599.7	37	3030	5143	3066
SLC7A14	ENSG00000013293.5	ENST00000231706.5	317	2316	10103	2632
CLDN11	ENSG00000013297.11	ENST00000064724.7	203	624	2169	826
SLC25A39	ENSG00000013306.15	ENST00000377095.9	121	1080	1565	1200
MVP	ENSG00000013364.18	ENST00000395353.5	194	2682	2925	2875
NUB1	ENSG00000013374.16	ENST00000568733.5	67	1920	3210	1986
PGM3	ENSG00000013375.15	ENST00000506587.5	148	1713	1971	1860
RWDD2A	ENSG00000013392.7	ENST00000369724.4	206	879	3744	1084
CLK1	ENSG00000013441.15	ENST00000434813.3	336	1581	2026	1916
POLR3B	ENSG00000013503.9	ENST00000228347.8	223	3402	4273	3624
ANGEL1	ENSG00000013523.9	ENST00000251089.6	114	2013	5176	2126
RNF14	ENSG00000013561.17	ENST00000394520.6	310	1425	4235	1734
DNASE1L1	ENSG00000013563.13	ENST00000369809.5	631	909	3008	1539
DDX11	ENSG00000013573.16	ENST00000545668.5	81	2913	3751	2993
HEBP1	ENSG00000013583.9	ENST00000014930.8	160	570	1173	729
GPRC5A	ENSG00000013588.8	ENST00000014914.5	891	1074	7362	1964
MAMLD1	ENSG00000013619.13	ENST00000432680.6	176	2997	3224	3172
CD6	ENSG00000013725.14	ENST00000313421.11	187	2007	3252	2193
TACC3	ENSG00000013810.18	ENST00000313288.8	107	2517	2781	2623
UFL1	ENSG00000014123.9	ENST00000369278.4	67	2385	4224	2451
POLA2	ENSG00000014138.8	ENST00000265465.7	532	1797	3744	2328
ZC3H3	ENSG00000014164.6	ENST00000262577.5	33	2847	3280	2879
CAPN1	ENSG00000014216.15	ENST00000527323.5	241	2145	3086	2385
ACPP	ENSG00000014257.15	ENST00000351273.11	51	1257	1783	1307
MDH1	ENSG00000014641.17	ENST00000539945.5	178	1059	1443	1236
SLC30A9	ENSG00000014824.13	ENST00000264451.11	181	1707	6218	1887
MTMR11	ENSG00000014914.20	ENST00000439741.3	221	2130	2827	2350
COX15	ENSG00000014919.12	ENST00000016171.5	52	1233	2356	1284
CCDC88C	ENSG00000015133.18	ENST00000389857.10	88	6087	7474	6174
YAF2	ENSG00000015153.14	ENST00000327791.8	57	615	4156	671
ZMYND11	ENSG00000015171.19	ENST00000381591.5	254	1809	4229	2062
WAS	ENSG00000015285.10	ENST00000376701.4	76	1509	1849	1584
DPEP1	ENSG00000015413.9	ENST00000393092.7	292	1236	1734	1527
BID	ENSG00000015475.18	ENST00000317361.11	328	726	2495	1053
MATR3	ENSG00000015479.18	ENST00000394805.7	336	2544	4843	2879
NPC1L1	ENSG00000015520.14	ENST00000289547.8	57	4080	5048	4136
XYLT2	ENSG00000015532.9	ENST00000017003.6	50	2598	3507	2647
RGPD5	ENSG00000015568.12	ENST00000016946.7	159	5298	7253	5456
STMN4	ENSG00000015592.16	ENST00000350889.8	115	651	2288	765
NUDCD3	ENSG00000015676.17	ENST00000355451.7	281	1086	8256	1366
ISL1	ENSG00000016082.14	ENST00000230658.11	282	1050	2459	1331
CHDH	ENSG00000016391.10	ENST00000315251.10	439	1785	7665	2223
IL20RA	ENSG00000016402.13	ENST00000316649.9	237	1662	3485	1898
CLCA1	ENSG00000016490.15	ENST00000234701.7	352	2745	3310	3096
CLCA4	ENSG00000016602.9	ENST00000370563.3	43	2760	3211	2802
GLT8D1	ENSG00000016864.18	ENST00000266014.10	377	1116	1849	1492
ATP2C1	ENSG00000017260.19	ENST00000507488.6	221	2922	3579	3142
IGF1	ENSG00000017427.16	ENST00000392904.5	72	477	761	548
